,rentaldate,occupancy
235,2017-10-08,24.375
236,2017-10-09,18.75
237,2017-10-10,15.3125
238,2017-10-11,15.625
239,2017-10-12,17.1875
240,2017-10-13,16.875
241,2017-10-14,22.8125
242,2017-10-15,23.75
243,2017-10-16,15.3125
244,2017-10-17,12.1875
245,2017-10-18,15.0
246,2017-10-19,21.25
247,2017-10-20,24.6875
248,2017-10-21,23.125
249,2017-10-22,17.8125
250,2017-10-23,19.6875
251,2017-10-24,20.9375
252,2017-10-25,15.625
253,2017-10-26,17.8125
254,2017-10-27,20.9375
255,2017-10-28,20.625
256,2017-10-29,14.6875
257,2017-10-30,14.6875
258,2017-10-31,17.1875
259,2017-11-01,18.4375
260,2017-11-02,18.75
261,2017-11-03,17.5
262,2017-11-04,17.8125
263,2017-11-05,22.5
264,2017-11-06,20.0
265,2017-11-07,16.875
266,2017-11-08,16.25
267,2017-11-09,14.6875
268,2017-11-10,15.625
269,2017-11-11,15.0
270,2017-11-12,16.875
271,2017-11-13,16.5625
272,2017-11-14,17.1875
273,2017-11-15,18.125
274,2017-11-16,16.875
275,2017-11-17,17.1875
276,2017-11-18,18.125
277,2017-11-19,21.5625
278,2017-11-20,20.625
279,2017-11-21,16.5625
280,2017-11-22,15.9375
281,2017-11-23,16.5625
282,2017-11-24,18.125
283,2017-11-25,21.875
284,2017-11-26,22.1875
285,2017-11-27,19.0625
286,2017-11-28,17.5
287,2017-11-29,13.75
288,2017-11-30,16.25
289,2017-12-01,16.25
290,2017-12-02,18.125
291,2017-12-03,15.625
292,2017-12-04,12.1875
293,2017-12-05,11.25
294,2017-12-06,10.0
295,2017-12-07,14.6875
296,2017-12-08,14.0625
297,2017-12-09,20.3125
298,2017-12-10,19.0625
299,2017-12-11,13.125
300,2017-12-12,9.0625
301,2017-12-13,20.0
302,2017-12-14,21.5625
303,2017-12-15,19.6875
304,2017-12-16,20.3125
305,2017-12-17,12.5
306,2017-12-18,10.625
307,2017-12-19,10.3125
308,2017-12-20,10.0
309,2017-12-21,8.125
310,2017-12-22,9.375
311,2017-12-23,17.5
312,2017-12-24,22.8125
313,2017-12-25,22.1875
314,2017-12-26,19.6875
315,2017-12-27,19.375
316,2017-12-28,13.4375
317,2017-12-29,15.9375
318,2017-12-30,20.3125
319,2017-12-31,19.375
320,2018-01-01,19.0625
321,2018-01-02,14.375
322,2018-01-03,8.75
323,2018-01-04,16.5625
324,2018-01-05,16.875
325,2018-01-06,12.8125
326,2018-01-07,15.9375
327,2018-01-08,10.625
328,2018-01-09,10.9375
329,2018-01-10,10.9375
330,2018-01-11,10.9375
331,2018-01-12,13.125
332,2018-01-13,14.0625
333,2018-01-14,12.5
334,2018-01-15,10.3125
335,2018-01-16,9.0625
336,2018-01-17,11.25
337,2018-01-18,11.25
338,2018-01-19,15.0
339,2018-01-20,15.3125
340,2018-01-21,14.375
341,2018-01-22,14.0625
342,2018-01-23,13.125
343,2018-01-24,12.1875
344,2018-01-25,17.8125
345,2018-01-26,24.375
346,2018-01-27,22.5
347,2018-01-28,25.0
348,2018-01-29,20.9375
349,2018-01-30,17.1875
350,2018-01-31,14.0625
351,2018-02-01,13.4375
352,2018-02-02,18.125
353,2018-02-03,24.0625
354,2018-02-04,22.1875
355,2018-02-05,16.25
356,2018-02-06,16.25
357,2018-02-07,16.875
358,2018-02-08,18.125
359,2018-02-09,22.1875
360,2018-02-10,22.5
361,2018-02-11,23.75
362,2018-02-12,20.0
363,2018-02-13,21.5625
364,2018-02-14,19.375
365,2018-02-15,20.9375
366,2018-02-16,17.5
